ID,文法句型,接續方式,中文意思,例句
g1,～てから,動詞て形,做完…之後,"手を洗（アラ）ってから、ごはんを食べます。"
g2,～ほうがいい,動詞た形 / ない形,最好… / 最好不要…,"家（イエ）にいたほうがいいです。"
g3,～ていく,動詞て形,空間遠去 / 持續向未來,"小鳥（コトリ）が遠（トオ）くへ飛（ト）んでいきました。"
g4,～てくる,動詞て形,空間接近 / 從過去持續至今,"ずっと日本語（ニホンゴ）を勉強（ベンキョウ）してきました。"
g5,～ながら,動詞ます形,一邊…一邊…,"テレビを見（ミ）ながらご飯（ハン）を食べます。"
g6,～より,名詞 / 動詞普通形,比起…,"兄（アニ）はわたしより足（アシ）が速（ハヤ）いです。"
g7,～のほうが,名詞 + の / 動詞普通形,比較…,"こちらのほうが安（やす）いです。"
g8,～ほど～ない,名詞,不如…,"今年（コトシ）は去年（キョネン）ほど寒（サム）くないです。"
g9,～ようだ,普通形（な形+な/名+の）,好像… / 似乎…,"部屋（ヘヤ）に誰（ダレ）もいないようです。"
g10,～から,小句普通形 / です・ます,因為…（主觀理由）,"雨（アメ）が降（フ）ってきたから、傘（カサ）を差（サ）します。"
g11,～ので,小句普通形（な形・名+な）,因為…（客觀原因）,"風邪（カゼ）をひいたので、早退（ソウタイ）します。"
g12,～うちに,動詞辭書形/ない形/名詞の,趁著… / 在…期間內,"温（アタタ）かいうちに食（タ）べましょう。"
g13,～と,動詞辭書形,一…就…（恆常/必然）,"春（ハル）になると、桜（サクラ）が咲（サ）きます。"
g14,～ば,動詞假定形,如果…,"安（やす）ければ買（カ）います。"
g15,～たら,動詞た形,如果… / …之後,"駅（エキ）に着（ツ）いたら電話（デンワ）してください。"
g16,～なら,名詞 / 普通形,如果是…（主題假定）,"日本（ニホン）へ行（イ）くなら、京都（キョウト）がおすすめです。"
g17,～ておく,動詞て形,事先準備 / 維持原狀,"ホテルを予約（ヨヤク）しておきました。"
g18,～なさい,動詞ます形,請…（長輩對晚輩命令）,"早（ハヤ）く起（オ）きなさい。"
g19,～ために,名詞の / 動詞辭書形,為了…（意志目的）,"車（クルマ）を買（カ）うために貯金（チョキン）します。"
g20,～ように,動詞可能形/ない形,為了能夠…（狀態目的）,"みんなに聞（キ）こえるように大（オオ）きな声（コエ）で話（ハナ）します。"
g21,動詞可能形,五段動詞え段 / 一段+られる,能夠… / 會…,"刺身（サシミ）が食（タ）べられます。"
g22,動詞受身形,五段あ段+れる / 一段+られる,被…（受身/被動）,"雨（アメ）に降（フ）られました。"
g23,動詞使役形,五段あ段+せる / 一段+させる,讓… / 使…,"子（コ）どもに本（ホン）を読（ヨ）ませます。"
g24,動詞使役受身形,五段あ段+せられる / 一段+させられる,被迫做…,"野菜（ヤサイ）を食（タ）べさせられました。"
g25,尊敬語（受身形轉用）,動詞受身形,尊敬（長輩動作）,"先生（センセイ）は明日（アシタ）来（コ）られますか。"
g26,～やすい,動詞ます形,容易… / 好做…,"このペンは書（カ）きやすいです。"
g27,～にくい,動詞ます形,難以… / 不好做…,"この靴（クツ）は歩（アル）きにくいです。"
g28,～がたい,動詞ます形,心理上難以…,"信（シン）じがたい事実（ジジツ）です。"
g29,～にする,名詞,決定選擇…,"今日（キョウ）はカレーにします。"
g30,～になる,名詞+に / い形+く / な形+に,自然變成…,"医者（イシャ）になりたいです。"
g31,～までに,名詞（時間） / 動詞辭書形,在…之前（期限）,"明日（アシタ）までに提出（テイシュツ）してください。"
