ID,文法句型,題目內容,原形提示,正解答案,平假名替代正解,中文翻譯,變化規則解析
g1,～てから,毎朝、ジョギングを（する →【】）から、シャワーを浴びます。,する,して,して,每天早上慢跑完之後，再沖澡。,サ変動詞「する」轉「て形」為「して」，接續「から」表示做完該動作之後。
g2,～ほうがいい,熱があるなら、今日は無理をせず早く（休む →【】）ほうがいいです。,休む,休んだ,やすんだ,如果發燒的話，今天最好不要勉強、早點休息。,「～たほうがいい」表示具體建議，五段動詞「休む」轉た形音便為「休んだ」。
g3,～ていく,たくさんの鳥たちが南の空へ（飛ぶ →【】）いきました。,飛ぶ,飛んで,とんで,許多鳥兒朝著南方的天空飛去了。,「～ていく」表示動作由近及遠，五段動詞「飛ぶ」轉て形撥音便為「飛んで」。
g4,～てくる,父は何十年もこの畑で野菜を（育てる →【】）きました。,育てる,育てて,そだてて,父親數十年來一直都在這座田裡種植蔬菜至今。,「～てくる」表示動作從過去持續累積至今，二類動詞「育てる」轉て形為「育てて」。
g5,～ながら,温かいお茶を（飲む →【】）ながら、友達と楽しくおしゃべりしました。,飲む,飲み,のみ,一邊喝著熱茶，一邊和朋友開心地聊天。,「～ながら」表示同時進行兩動作，前接動詞連用形（ます形去ます），五段動詞「飲む」轉為「飲み」。
g6,～より,新しい靴を（買う →【】）より、今ある靴を修理して履きたいです。,買う,買う,かう,比起買新鞋子，我更想把現有的鞋子修好繼續穿。,「～より」表示比較的基準，前接動詞辭書形，五段動詞填入辭書形「買う」。
g7,～のほうが,バスで行くより、電車を（利用する →【】）ほうが時間がかかりません。,利用する,利用する,りようする,比起搭公車，利用電車（搭電車）比較不會花費太多時間。,二者比較句型「～ほうが」，前接動詞辭書形，サ変動詞填入辭書形「利用する」。
g8,～ほど～ない,今年の期末試験は、思っていたほど（難しい →【】）なかったです。,難しい,難しく,むずかしく,今年的期末考沒有我想像中的那麼難。,「～ほど～ない」表示未達預期標準，い形容詞「難しい」轉否定需去い加く，故為「難しく」。
g9,～ようだ,外で急に大きな音がしました。隣のビルで工事が（始まる →【】）ようです。,始まる,始まった,はじまった,外面突然傳來巨響，隔壁大樓好像開始施工了。,「～ようだ」表示根據感官觀察做出的推測，前接普通形，五段動詞「始まる」過去式為「始まった」。
g10,～から,もうすぐ終電の時間が（近い →【】）から、急いで駅へ向かいましょう。,近い,近い,ちかい,因為末班車的時間快到了，我們趕快往車站出發吧。,「～から」表示主觀原因理由，前接普通形，い形容詞辭書形「近い」直接接續「から」。
g11,～ので,この自習室はいつもとても（静かだ →【】）ので、勉強がはかどります。,静かだ,静かな,しずかな,這間自修室總是非常安靜，所以讀書進度很順利。,「～ので」表示客觀原因理由，な形容詞修飾小句需將詞尾「だ」變為「な」，故填入「静かな」。
g12,～うちに,先生に言われた大切なアドバイスを、（忘れる →【】）うちにメモしておきます。,忘れる,忘れない,わすれない,趁著還沒把老師說的重要建議忘記前，先做筆記記下來。,「～うちに」表趁某狀態尚未改變前，二類動詞「忘れる」轉否定ない形為「忘れない」。
g13,～と,この交差点を右へ（曲がる →【】）と、すぐ左手に郵便局があります。,曲がる,曲がる,まがる,在這個十字路口右轉的話，左手邊馬上就會看見郵局。,「～と」表示必然條件或恆常規律，前接動詞辭書形，故填入「曲がる」。
g14,～ば,分からない単語は、辞書を（引く →【】）ばすぐに意味が分かります。,引く,引け,ひけ,不懂的單字只要查字典的話，馬上就能明白意思了。,五段動詞「引く」轉假定形（ば形）：詞尾「く」變為え段音「け」接續ば，故填入「引け」。
g15,～たら,駅の改札口に（着く →【】）ら、メッセージを送ってください。,着く,着いた,ついた,一到達車站剪票口之後，請傳訊息給我。,「～たら」表示動作完成後接著進行後項，為動詞た形接「ら」，五段動詞「着く」た形為「着いた」。
g16,～なら,おいしい京都の抹茶スイーツを（食べる →【】）なら、あのお店が一番です。,食べる,食べる,たべる,如果想吃美味的京都抹茶甜點的話，那家店是最棒的。,「～なら」表示提起話題給予建議，前接動詞辭書形，二類動詞直接填入「食べる」。
g17,～ておく,大事なお客様が来ますから、お茶とお菓子を（準備する →【】）おきましょう。,準備する,準備して,じゅんびして,因為重要的貴客要來，我們先把茶和點心準備好吧。,「～ておく」表示事先做好準備，サ変動詞「準備する」轉て形為「準備して」。
g18,～なさい,夜遅くまでゲームをしていないで、早く（寝る →【】）なさい。,寝る,寝,ね,不要打電動到大半夜，快點去睡覺。,「～なさい」為長輩對晚輩的命令，前接動詞ます形去ます，二類動詞「寝る」去ます為「寝」。
g19,～ために,将来、世界一周旅行に（行く →【】）ために、毎月少しずつ貯金しています。,行く,行く,いく,為了將來能去環遊世界旅行，每個月都在慢慢存錢。,「～ために」表示意志目的，前接動詞辭書形，五段動詞直接填入「行く」。
g20,～ように,後ろの席の学生にもはっきり（聞こえる →【】）ように、大きな声で話してください。,聞こえる,聞こえる,きこえる,為了讓後座的學生也能清楚聽見，請用大聲說話。,「～ように」表示狀態目標，前接可能動詞辭書形，故填入「聞こえる」。
g21,動詞可能形,毎日コツコツ練習したおかげで、難しい曲も（弾く →【】）ようになりました。,弾く,弾ける,ひける,多虧了每天勤奮練習，現在連困難的曲子也能彈奏了。,五段動詞「弾く」轉可能形：詞尾轉為え段音加る，故填入「弾ける」。
g22,動詞受身形,雨の日、走ってきた車に泥水を（かける →【】）て服が汚れました。,かける,かけられ,かけられ,下雨天被疾駛而過的車輛濺了一身泥水，衣服都弄髒了。,被害受身句構，二類動詞「かける」轉受身形為「かけられる」，接て形填入「かけられ」。
